name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Sofia University,,,Private not-for-profit,453,17,,,,,,,,,,,,,,,,,,,,0,,0,,,0
California Institute of the Arts,57,40536,Private not-for-profit,1489,7,69,64,13684,31,4570,31,4024,14,1200,8,7562,63,10886,56,9735,56,6980,6,28529,42794,38802,39709,42912,44381,29782
California Maritime Academy,59,6536,Public,1045,14,68,43,7923,26,4510,26,4314,5,1000,24,3791,27,5006,60,6509,60,5758,3,15720,14300,11371,13434,14795,18849,21819
California Western School of Law,,,Private not-for-profit,704,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Chapman University,76,43573,Private not-for-profit,7892,14,87,81,24091,19,5335,18,4161,6,3650,14,9053,81,21261,75,6841,75,5834,5,16331,32932,30337,24945,27776,31456,21757
Charles R Drew University of Medicine and Science,,11956,Private not-for-profit,515,7,100,100,4200,100,4200,100,4200,0,,0,,0,,0,,0,,0,,22741,20639,0,22741,,22900
Concordia University-Irvine,63,29630,Private not-for-profit,4046,11,100,100,14653,27,4536,27,4203,9,1000,24,7843,100,11509,68,7521,68,5760,7,16327,26766,23817,21846,22825,28468,16972
San Diego Christian College,41,25888,Private not-for-profit,914,17,100,98,12497,67,4032,67,3876,10,1078,26,7608,87,8699,94,7011,94,5930,10,10447,25203,23535,20738,20844,27948,20602
Church Divinity School of the Pacific,,,Private not-for-profit,79,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Claremont Graduate University,,,Private not-for-profit,2204,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Claremont McKenna College,93,45625,Private not-for-profit,1328,9,53,49,35693,11,4401,11,4401,0,,7,9223,49,33323,16,8446,9,5523,11,8181,24372,23064,7477,12909,20685,6369
