name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Pontifical Catholic University of Puerto Rico-Mayaguez,18,4738,Private not-for-profit,1501,24,97,95,5120,94,4902,94,4817,43,186,73,204,12,694,27,2922,27,2922,0,,4245,3493,5206,7539,9351,3323
Universidad Del Turabo,20,5434,Private not-for-profit,17287,41,98,97,5149,96,4857,95,4744,25,736,30,606,7,1945,15,1817,15,1817,0,,9047,7419,9518,9728,9412,7536
University of the Virgin Islands,24,4794,Public,2321,11,89,80,5379,72,4728,72,4577,8,1310,4,6960,32,2014,38,4857,38,4831,0,3500,10710,10486,12094,14102,16261,16261
Stanford University,96,43683,Private not-for-profit,18346,11,66,53,39299,14,5571,14,4214,7,2664,6,9191,53,36892,10,7468,10,5354,1,22863,19109,20450,4260,6240,12679,4361
Purdue University-Main Campus,70,9992,Public,39794,13,66,47,10902,20,5467,19,4150,14,2368,14,5967,43,7208,38,7464,37,5540,10,7866,13541,7228,9375,14745,19995,21612
Parker University,,15230,Private not-for-profit,922,11,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Widener University-Delaware Campus,80,13050,Private not-for-profit,905,9,86,21,6217,21,6217,21,5550,14,1000,0,,0,,86,8208,86,8208,0,,18149,18255,24366,,24366,18642
St John's College,55,46286,Private not-for-profit,419,8,86,82,32206,40,4847,39,3965,33,1190,5,1900,81,30066,67,6451,56,5746,13,8443,24292,21583,23326,18788,27458,19185
Yeshiva and Kollel Harbotzas Torah,,,Private not-for-profit,46,8,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Bais Medrash Elyon,25,7800,Private not-for-profit,54,11,100,100,13375,0,,0,,0,,0,,100,13375,0,,0,,0,,1225,2025,0,,,0
Antioch University-Los Angeles,,,Private not-for-profit,986,8,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Antioch University-Santa Barbara,,,Private not-for-profit,375,11,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Antioch University-New England,,,Private not-for-profit,725,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Antioch University-Seattle,,20595,Private not-for-profit,884,9,69,69,9620,42,5355,42,3155,42,2200,4,8517,65,6220,62,5969,62,5969,0,,26442,29901,23857,24762,29562,24074
Antioch University-Midwest,,,Private not-for-profit,310,4,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Mid-America Christian University,22,15688,Private not-for-profit,2942,16,99,91,8844,59,4511,59,4195,19,985,18,3295,61,7881,76,6763,73,6835,4,2201,17951,13776,15082,15411,18160,18606
Houston Graduate School of Theology,,,Private not-for-profit,174,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Unification Theological Seminary,,24500,Private not-for-profit,114,14,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Ecumenical Theological Seminary,,,Private not-for-profit,81,3,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Yeshiva Gedolah of Greater Detroit,22,6200,Private not-for-profit,74,12,68,68,6651,68,5200,68,4708,42,800,0,,58,1715,0,,0,,0,,7149,8383,7181,7201,,6454
Austin Graduate School of Theology,,,Private not-for-profit,60,4,,,,,,,,,,,,,,,,,,,,0,,0,,,0
South University-Columbia,5,16360,Private for-profit,1627,17,100,93,4475,71,4011,71,3831,29,450,29,3751,29,766,86,7959,86,7959,0,,24087,25962,25268,28290,28290,25783
Platt College-Aurora,47,20536,Private for-profit,209,11,100,67,4607,67,4607,67,4373,67,234,0,,0,,100,6174,100,6174,0,,37350,,0,,40359,41487
Kaplan University-Davenport Campus,20,13884,Private for-profit,52407,19,84,79,4737,68,4472,68,4264,47,300,21,1650,26,1263,79,9894,79,7917,37,4238,18975,23025,19745,,23712,22901
Knowledge Systems Institute,,,Private not-for-profit,186,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Bethel Seminary-San Diego,,,Private not-for-profit,178,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Brandman University,,8800,Private not-for-profit,7746,14,,,,,,,,,,,,,,,,,,,,0,,0,,,0
New College of Florida,66,6866,Public,793,10,100,100,8594,25,4397,25,4288,10,273,78,3619,100,4652,32,4853,32,4727,1,4500,12018,7007,6995,11169,13427,14725
Yeshivah Gedolah Rabbinical College,17,8400,Private not-for-profit,51,10,100,100,16900,60,5252,60,5017,60,235,0,,100,13749,0,,0,,0,,400,9017,3871,,,7975
University of the District of Columbia-David A Clarke School of Law,,,Public,336,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Caribbean University-Ponce,15,4850,Private not-for-profit,1529,20,98,98,5429,97,5107,97,4848,31,804,51,375,5,3345,15,2623,15,2623,0,,2889,2481,3767,3541,,2419
Caribbean University-Vega Baja,28,4850,Private not-for-profit,604,13,100,100,5321,100,5113,100,4962,43,353,67,309,0,,6,2080,6,2080,0,,3144,3028,3502,4448,,2964
University of Advancing Technology,24,19700,Private for-profit,1017,24,90,77,4101,52,4690,52,4526,34,247,0,,46,1576,72,12369,71,7273,19,19427,29800,28859,28195,31187,33071,26035
Mayo Graduate School,,,Private not-for-profit,322,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
South Florida Bible College and Theological Seminary,,5130,Private not-for-profit,126,8,25,25,5550,25,5550,25,5550,0,,0,,0,,25,9500,25,9500,0,,11038,11315,0,,,11335
New York Academy of Art,,,Private not-for-profit,104,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Southwest Acupuncture College-Santa Fe,,,Private for-profit,53,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
California State University-San Marcos,48,6649,Public,11300,24,73,57,9038,45,4581,45,4495,7,623,37,2531,44,5008,45,5652,44,5107,3,10297,11133,8427,10190,13862,18845,20087
Argosy University-Hawaii,,14071,Private for-profit,795,14,100,75,7912,75,5585,75,5319,25,800,0,,25,6980,75,8995,75,6168,25,8481,16821,19530,19877,,,23134
Baptist Theological Seminary at Richmond,,,Private not-for-profit,77,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
McNally Smith College of Music,38,25210,Private for-profit,596,9,83,44,9133,34,6655,32,4129,20,4707,18,2233,28,4836,75,14740,75,6351,31,20565,28138,30560,27427,33893,36987,30927
Hodges University,30,12740,Private not-for-profit,2078,14,99,99,6107,80,4736,79,3984,42,1553,93,1926,25,1802,83,6342,83,6342,0,,17407,17399,17724,18894,19143,16972
Argosy University-Atlanta,,13663,Private for-profit,1920,9,100,91,5041,83,4763,83,4347,30,1129,4,500,17,3720,87,7438,87,7438,0,,19167,22438,20908,19114,,23366
University of St Augustine for Health Sciences,,,Private for-profit,1705,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Massachusetts School of Law,,,Private not-for-profit,529,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Oregon College of Oriental Medicine,,,Private not-for-profit,224,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Bethel Seminary of the East,,,Private not-for-profit,81,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Phoenix-Online Campus,20,10188,Private for-profit,212044,38,94,90,5362,87,5356,87,5270,13,640,0,1694,19,814,91,8325,91,8307,0,8307,14252,16585,15009,16727,18751,16603
University of Phoenix-San Diego Campus,17,11275,Private for-profit,6122,25,87,83,4985,78,5146,78,5034,17,500,0,,28,586,84,7319,84,7319,0,,19094,22325,19961,18519,,22303
New England School of Communications,47,14104,Private not-for-profit,457,13,93,69,4242,50,4329,50,4134,19,500,40,1113,41,831,87,7816,87,5806,21,8216,19811,16446,19071,20643,23401,15379
Adler Graduate School,,,Private not-for-profit,380,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Yeshiva Gedolah Imrei Yosef D'spinka,67,8000,Private not-for-profit,125,27,100,100,5550,100,5550,100,5550,0,,0,,0,,0,,0,,0,,10398,8439,0,,,8439
Northwest College of Art & Design,36,19000,Private for-profit,94,18,93,68,8706,68,5047,68,5047,0,,36,6418,7,2666,93,10108,93,8908,11,10400,22629,21183,21262,31639,30350,20215
University of Washington-Bothell Campus,68,11911,Public,4604,18,69,56,13314,39,4269,39,4129,28,194,29,10510,45,6026,38,5101,37,4678,2,11662,9400,6676,7113,9866,17954,21938
University of Washington-Tacoma Campus,49,11902,Public,4295,17,83,72,12962,48,4688,48,4588,31,156,38,10684,60,5064,38,5445,36,4962,2,14785,9123,5594,5950,9536,17308,20357
Pacific College of Oriental Medicine-San Diego,50,8088,Private for-profit,510,15,63,50,4025,50,4025,50,3925,13,400,0,,0,,63,8700,63,8700,0,,22535,27950,18666,24166,,27550
University of Phoenix-Utah Campus,20,11218,Private for-profit,1703,15,75,69,4334,56,5167,56,5056,13,500,0,,31,234,75,8803,75,8803,0,,20180,22515,18964,19839,23880,22128
Colorado School of Traditional Chinese Medicine,,,Private for-profit,136,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Phoenix Seminary,,,Private not-for-profit,187,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Westwood College-Denver South,50,13619,Private for-profit,275,16,93,89,4921,89,4921,89,4171,41,1636,0,,0,,89,12522,89,10551,74,2365,21010,18111,22195,25962,,17775
University of Phoenix-Puerto Rico Campus,22,6640,Private for-profit,928,12,87,73,5059,73,4900,73,4809,13,500,0,,27,438,60,6444,60,6444,0,,13655,17804,15861,,,17811
Midwest College of Oriental Medicine-Racine,,,Private for-profit,74,10,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Beacon College,83,31496,Private not-for-profit,190,11,59,59,2685,26,2523,26,2433,5,453,28,1252,49,1197,56,3068,56,3068,0,,39648,36032,40658,40466,40091,34539
Acupuncture and Integrative Medicine College-Berkeley,,,Private not-for-profit,140,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of the Potomac-Washington DC Campus,,13434,Private for-profit,341,12,61,55,4547,55,4547,55,4259,42,382,0,,0,,57,11401,57,11401,0,,18725,17664,20077,18679,,17664
Rabbi Jacob Joseph School,12,10900,Private not-for-profit,86,18,100,100,9260,28,5525,28,5400,3,1000,14,5506,97,7225,0,,0,,0,,9263,9579,9172,9372,5172,7500
Everglades University,62,15400,Private not-for-profit,1252,8,92,91,4711,66,4384,66,4230,53,193,43,1829,40,1458,85,8783,85,8607,4,3947,22650,20850,23097,26733,27322,13047
College of Biblical Studies-Houston,57,9801,Private not-for-profit,498,12,75,58,5285,42,3525,42,3525,0,,0,,58,2767,50,5392,50,5392,0,,20983,14577,0,,,0
Watkins College of Art Design & Film,37,19710,Private not-for-profit,363,10,100,100,8306,91,2832,55,4312,38,536,40,4408,91,4299,83,5787,79,5599,4,9250,25317,17995,23688,27129,27402,17067
Mt Sierra College,36,13361,Private for-profit,538,22,98,95,5349,84,4787,84,4595,26,627,0,,44,2474,95,10692,95,10692,0,,22665,31173,19178,23468,26251,30138
Soka University of America,84,29144,Private not-for-profit,412,9,100,100,27777,27,3754,26,3800,1,2500,17,8362,100,25295,46,6385,32,5017,14,9610,13065,16705,8313,10745,17364,10105
World Mission University,100,4900,Private not-for-profit,261,7,100,100,5692,100,5650,100,5550,100,100,0,,17,250,0,,0,,0,,14553,13849,0,,,14841
Yo San University of Traditional Chinese Medicine,,,Private not-for-profit,211,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Colorado Technical University-Sioux Falls,26,,Private for-profit,276,7,96,89,4844,61,4968,61,4544,32,800,25,771,71,1563,86,9051,82,7952,14,8580,0,,0,,,0
Southwest University of Visual Arts-Albuquerque,84,34541,Private for-profit,224,7,91,73,2857,58,2428,58,2428,0,,0,,40,1679,80,4848,80,4848,0,,47148,40904,48578,49203,,40544
Widener University-Harrisburg Campus,,,Private not-for-profit,381,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Inter American University of Puerto Rico-School of Optometry,,,Private not-for-profit,221,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Schiller International University,20,21540,Private for-profit,159,14,67,67,5790,67,5790,67,5550,33,480,0,,0,,67,9500,67,9500,0,,29292,22229,0,,,22229
Yeshivas Novominsk,6,9000,Private not-for-profit,118,20,84,84,6597,35,5488,35,5253,10,800,27,3963,59,4333,0,,0,,0,,9862,10590,6640,7626,7620,9387
Rabbinical College of Ohr Shimon Yisroel,39,10900,Private not-for-profit,155,15,50,50,10179,50,5537,50,5453,29,143,24,4493,29,4297,0,,0,,0,,4921,17345,0,,,17821
University of Phoenix-Southern Arizona Campus,23,11307,Private for-profit,1849,19,96,87,5313,83,5399,83,5280,20,500,11,500,22,486,96,8333,96,8333,0,,19039,21934,20754,21267,24367,21745
University of Phoenix-Colorado Campus,16,10240,Private for-profit,1474,15,93,83,4955,78,4981,78,4871,17,500,0,,34,648,90,8490,90,8490,0,,18298,21203,17484,22772,23022,21594
University of Phoenix-Albuquerque Campus,26,10240,Private for-profit,2462,15,94,89,5382,86,5285,86,5242,7,500,1,12362,17,734,91,8447,91,8447,0,,17755,20285,18556,19047,22680,20447
University of Phoenix-Bay Area Campus,12,11308,Private for-profit,1655,15,90,76,5020,71,5137,71,5068,10,500,0,,22,739,88,8069,88,8069,0,,19295,22842,20953,19934,,23472
University of Phoenix-Southern California Campus,15,11320,Private for-profit,9954,24,96,92,4983,85,5091,85,5066,4,518,0,,36,808,93,8309,93,8309,0,,20020,23203,20354,22360,22926,23375
Westwood College-Dupage,63,14684,Private for-profit,186,12,100,100,4646,100,4190,100,3965,13,1800,0,,25,1825,94,13142,94,11067,88,2223,23958,19476,24604,,,20970
Arizona State University-West,55,9545,Public,3661,14,96,92,9458,48,4589,47,4271,14,1533,0,2500,88,7344,42,6375,41,5346,3,15482,10072,6489,7833,10614,13637,14589
Lake Erie College of Osteopathic Medicine,,,Private not-for-profit,3594,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Erikson Institute,,,Private not-for-profit,253,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Roger Williams University School of Law,,,Private not-for-profit,420,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
California State University-Monterey Bay,38,5963,Public,5732,22,78,60,10080,49,4806,49,4631,19,452,38,2673,46,5769,59,5332,58,4861,3,11506,8384,5334,7998,12682,17170,18167
The Art Institute of California-Argosy University Hollywood,20,18748,Private for-profit,1906,19,99,88,6453,78,4927,78,4667,34,590,22,4305,36,2402,94,8088,94,7398,3,19186,27358,24564,27301,31679,32918,25945
Capella University,0,12348,Private for-profit,34007,20,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Southwest Acupuncture College-Albuquerque,,,Private for-profit,62,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Pacific College of Oriental Medicine-New York,,10848,Private for-profit,602,9,100,33,5257,33,5257,33,4857,33,400,0,,0,,100,4000,100,4000,0,,29435,49670,0,32172,32172,48363
Baker College Center for Graduate Studies,0,10800,Private not-for-profit,5270,14,100,100,2350,100,1850,100,1850,0,,0,,100,500,100,3136,100,3136,0,,21770,16602,0,,,16013
Johnson & Wales University-North Miami,46,27456,Private not-for-profit,1952,26,98,98,16461,65,4655,63,4570,65,232,32,1991,98,12699,92,8500,92,7645,7,11769,22535,23277,20793,22286,24917,21424
Trine University-Regional/Non-Traditional Campuses,0,9840,Private not-for-profit,541,8,100,100,4487,75,3345,75,3345,0,,25,3772,25,4140,100,4950,100,4950,0,,13593,10760,17295,10608,13940,10760
Phillips Theological Seminary,,,Private not-for-profit,126,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
The University of Texas MD Anderson Cancer Center,,,Public,317,4,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Phoenix-Las Vegas Campus,22,11291,Private for-profit,2180,20,99,94,4861,86,4957,86,4919,6,500,0,,45,652,97,7931,97,7931,0,,18939,21299,21049,19941,23755,21449
Messenger College,16,8006,Private not-for-profit,47,4,67,67,4025,67,2775,67,2775,0,,0,,33,2500,67,7000,67,7000,0,,13553,13841,13883,16973,,11789
Argosy University-Washington DC,50,13663,Private for-profit,925,7,100,67,4938,67,3816,67,3816,0,,0,,33,2244,67,9500,67,9500,0,,17855,21516,23317,,,21516
University of Phoenix-Sacramento Valley Campus,18,11303,Private for-profit,3421,17,93,86,4876,75,5191,75,5113,12,500,0,,40,698,91,8278,91,8278,0,,19185,22748,18406,22041,22968,22603
University of Phoenix-Hawaii Campus,22,11215,Private for-profit,1454,16,100,92,4494,77,4975,77,4950,4,500,0,,38,836,85,8727,85,8727,0,,19752,22042,20052,,22852,21844
Southwest College of Naturopathic Medicine & Health Sciences,,,Private not-for-profit,427,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Yeshiva D'monsey Rabbinical College,6,5450,Private not-for-profit,53,14,100,100,7692,100,5683,100,5550,100,133,17,5000,83,1410,0,,0,,0,,12371,4050,0,,,14400
Arizona State University-Polytechnic,55,9545,Public,3697,17,90,78,7929,32,4372,31,4156,8,1368,1,1625,74,6459,46,6765,45,5311,4,18273,12611,8701,10209,13374,16070,16321
Bakke Graduate University,,,Private not-for-profit,126,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Argosy University-Schaumburg,,13663,Private for-profit,493,7,67,67,7705,67,6450,67,5550,67,900,0,,33,2509,67,9500,67,9500,0,,16660,,16660,,,22524
University of Phoenix-Louisiana Campus,15,10240,Private for-profit,524,,97,97,4777,90,4877,90,4838,7,500,0,,48,498,90,8319,90,8319,0,,18420,21160,0,18597,21997,20999
University of Phoenix-Detroit Campus,14,12400,Private for-profit,1249,11,96,96,5286,87,5156,87,5070,15,500,0,,42,1401,93,9070,93,9070,0,,20112,22860,21546,,23493,22795
Midwestern University-Glendale,,,Private not-for-profit,2984,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Embry-Riddle Aeronautical University-Worldwide,50,7800,Private not-for-profit,14564,12,32,30,2949,23,3317,23,3317,0,,2,4300,6,167,11,5546,11,5546,0,,17983,18141,16294,17523,,15038
Ottawa University-Milwaukee,,,Private not-for-profit,341,6,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Argosy University-Tampa,,13663,Private for-profit,533,8,67,67,1224,0,,0,,0,,0,,67,1224,0,,0,,0,,21569,23597,0,,,0
The Illinois Institute of Art-Schaumburg,43,17488,Private for-profit,1066,19,97,88,6063,62,4281,62,3840,26,1038,39,3576,76,1678,93,9699,93,7992,10,16040,23985,26060,23722,24284,28568,24461
Facultad de Derecho Eugenio Maria de Hostos,,,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
The Art Institute of Phoenix,36,17416,Private for-profit,1045,16,95,82,6375,72,5655,71,4190,21,5049,0,,54,2186,87,8819,87,8819,0,,24280,27652,24769,26841,29967,27428
American College of Acupuncture and Oriental Med,,,Private for-profit,130,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
AOMA Graduate School of Integrative Medicine,,,Private for-profit,189,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Colorado Technical University-Greenwood Village,15,11290,Private for-profit,869,11,85,73,5927,65,5647,65,5118,42,818,31,1250,4,6613,69,8389,69,8389,0,,16395,17745,15936,21161,22236,16529
Strayer University-Maryland,23,15495,Private for-profit,3074,19,88,31,3789,19,3980,19,3980,0,,0,,25,1751,25,4982,19,6271,6,1114,28765,30676,0,29821,,26604
American College of Traditional Chinese Medicine,,,Private not-for-profit,268,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
San Juan Bautista School of Medicine,,8186,Private not-for-profit,295,6,100,100,5550,100,5550,100,5550,0,,0,,0,,33,3500,33,3500,0,,3861,,0,,,0
Texas Health and Science University,,,Private for-profit,88,10,,,,,,,,,,,,,,,,,,,,0,,0,,,0
New Hampshire Institute of Art,78,22410,Private not-for-profit,506,13,100,100,8349,40,4228,40,4036,30,261,10,572,100,6585,100,9355,100,7215,15,14368,24435,21631,22051,25468,27391,20131
Yeshiva of the Telshe Alumni,4,8600,Private not-for-profit,126,27,61,61,8609,44,5406,44,5188,28,350,11,2750,61,4177,0,,0,,0,,9391,7250,9533,7500,10200,6500
University of Phoenix-Western Washington Campus,22,11256,Private for-profit,642,13,98,91,4698,81,4976,81,4933,7,500,0,,36,721,95,8529,95,8529,0,,19333,22740,20340,18964,22208,21921
University of Phoenix-Central Florida Campus,24,11320,Private for-profit,843,13,92,89,5579,87,5397,87,5321,13,500,3,1267,39,689,87,8302,87,8302,0,,18754,22150,18709,19909,,22407
University of Phoenix-Oregon Campus,21,11320,Private for-profit,694,12,98,97,5514,97,5379,97,5309,14,500,0,,22,591,95,8443,95,8443,0,,18670,22069,18596,22270,,21796
Appalachian School of Law,,,Private not-for-profit,219,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
LIU Hudson at Westchester,,,Private not-for-profit,205,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
The Art Institute of California-Argosy University Los Angeles,26,18748,Private for-profit,1808,21,93,89,6808,71,4615,71,4393,12,1302,29,4523,75,1959,86,9008,86,8940,0,17956,26518,25396,26173,28577,30017,23768
American University of Health Sciences,89,22684,Private for-profit,287,11,100,100,1838,33,1767,33,1767,0,,0,,67,1874,67,10523,67,3302,67,7221,26521,24516,28199,,28092,20232
Western Governors University,24,6070,Private not-for-profit,46733,41,100,48,4412,48,4412,48,4412,0,,0,,0,,100,4435,100,4435,0,,10058,15521,10324,11215,13550,15333
Florida Gulf Coast University,44,6118,Public,14077,22,81,73,4248,35,4259,35,4235,1,560,55,1925,17,3165,43,6715,43,6186,2,12337,13297,10778,12712,15956,17947,18097
National Labor College,,9528,Private not-for-profit,623,12,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Michigan Jewish Institute,12,10700,Private not-for-profit,1662,19,99,99,5218,99,5206,99,5206,0,,0,2350,1,737,1,4605,1,4605,0,,10065,10136,9778,10176,10958,10047
Florida College of Integrative Medicine,,,Private for-profit,147,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Florida Coastal School of Law,,,Private for-profit,1279,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Yeshiva College of the Nations Capital,100,9400,Private not-for-profit,45,8,75,75,11318,8,2200,8,2200,0,,0,,75,11073,0,,0,,0,,6382,,0,,2950,0
University of Phoenix-South Florida Campus,20,11307,Private for-profit,1364,13,80,80,4836,76,4887,76,4823,10,500,0,,25,592,80,8854,80,8854,0,,19062,22423,20127,20471,,22088
University of Phoenix-North Florida Campus,20,11246,Private for-profit,1238,15,97,97,5432,94,5451,94,5351,19,500,3,1267,22,516,94,8572,94,8572,0,,18883,21516,19839,,,21276
University of Phoenix-West Florida Campus,24,11320,Private for-profit,717,,81,77,4939,67,5185,67,5134,7,500,2,1267,33,810,77,8594,77,8594,0,,19383,21954,19569,18352,24152,21852
University of Phoenix-Maryland Campus,15,10240,Private for-profit,560,10,89,79,3991,68,4388,68,4312,11,500,0,,32,469,84,8253,84,8253,0,,19443,21808,17884,20969,23078,21494
University of Phoenix-Oklahoma City Campus,17,10240,Private for-profit,433,10,100,100,5634,94,5552,94,5414,26,500,3,3600,45,718,100,8302,100,8302,0,,17403,20567,19281,,,20948
University of Phoenix-Tulsa Campus,17,10240,Private for-profit,435,,67,44,3889,33,5067,33,5067,0,,0,,11,356,56,9500,56,9500,0,,19545,20987,0,,,21357
Louisiana State University Health Sciences Center-Shreveport,,,Public,856,5,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Argosy University-Phoenix,,13663,Private for-profit,743,11,100,88,4392,88,4392,88,4321,13,500,0,,0,,100,6573,100,6573,0,,18626,20374,18630,19293,22793,20374
Southwest Acupuncture College-Boulder,,,Private for-profit,138,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Watson School of Biological Sciences at Cold Spring Harbor Laboratory,,,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Argosy University-Orange County,,13663,Private for-profit,673,7,100,92,4724,75,5229,75,4974,25,767,0,,25,1632,92,7717,92,7717,0,,21560,,25763,,,0
International Baptist College and Seminary,56,11566,Private not-for-profit,61,5,83,83,7029,83,3855,83,3675,67,225,0,,83,3174,50,3387,50,3387,0,,17163,20051,19857,18267,,18589
University of Connecticut-Tri-Campus,50,10056,Public,2518,19,75,52,6078,39,4548,39,4377,4,1546,22,1727,32,3179,48,5415,47,5176,2,7436,7467,5323,6617,9704,12508,12981
University of Connecticut-Avery Point,48,10056,Public,682,13,70,40,5171,25,4016,25,3917,2,1560,16,1632,25,3320,54,5895,54,5688,2,7143,8187,5585,7137,9866,11916,12622
University of Connecticut-Stamford,62,10066,Public,1363,15,73,59,5132,40,4605,40,4428,5,1504,20,1621,42,2047,41,5141,40,4900,1,9975,8038,5621,6852,9155,12413,12214
University of Management and Technology,,9450,Private for-profit,1044,23,60,40,1794,40,1794,40,1794,0,,0,,0,,40,6871,40,6871,0,,18581,,0,17250,15050,0
Linfield College-School of Nursing,,,Private not-for-profit,344,8,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Linfield College-Adult Degree Program,,,Private not-for-profit,515,13,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Westwood College-Anaheim,46,15148,Private for-profit,772,18,100,89,6780,80,5408,80,4508,42,1714,0,,61,2800,93,14726,93,11714,82,3416,20656,18843,20014,25514,,19854
University of Phoenix-Southern Colorado Campus,16,10102,Private for-profit,632,,93,93,5092,86,5163,86,5121,7,500,0,,50,607,79,7455,79,7455,0,,18342,21614,18134,,,22097
University of Phoenix-West Michigan Campus,15,11320,Private for-profit,306,6,99,98,5539,98,5446,98,5394,10,500,0,,17,523,99,8478,99,8478,0,,18908,22165,0,22548,,22287
Stratford University,8,15135,Private for-profit,2825,7,41,34,4955,34,4955,34,4921,1,1000,0,,0,,25,14788,25,12921,2,19610,24640,24909,23794,27925,29327,24568
American InterContinental University-Atlanta,21,15912,Private for-profit,1103,22,91,85,5517,71,5441,71,5194,21,829,26,748,38,1643,73,8885,73,8885,0,,18468,19736,19055,20332,23092,19350
American InterContinental University-South Florida,20,15538,Private for-profit,164,8,92,92,6122,58,6450,58,5550,58,900,42,1343,75,1719,83,8891,83,8891,0,,18720,23250,16714,22329,,22643
University of Phoenix-Philadelphia Campus,7,10240,Private for-profit,739,12,95,92,5506,89,5476,89,5291,23,714,2,925,36,533,93,8151,93,8151,0,,17551,20952,18535,20135,,20917
University of Phoenix-Pittsburgh Campus,33,10240,Private for-profit,43,2,83,67,5828,67,5706,67,5456,33,500,0,,17,487,83,7415,83,7415,0,,17606,20858,16884,,,20866
Midwest College of Oriental Medicine-Chicago,,,Private for-profit,107,14,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Argosy University-Seattle,,13663,Private for-profit,365,7,50,50,4857,50,4857,50,4857,0,,0,,0,,50,4750,50,4750,0,,21662,21261,0,,,20374
University of Phoenix-St Louis Campus,3,12400,Private for-profit,575,12,96,94,5423,93,5406,93,5340,12,500,0,,9,864,94,8853,94,8853,0,,20097,23008,21849,19471,,23041
